name,currency,TER,ISIN,url
UBS (CH) Strategy Fund - Yield Sustainable (EUR) P,EUR,1.54,CH0000474533,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11471
UBS (CH) Strategy Fund - Balanced Sustainable (EUR) P,EUR,1.72,CH0000474541,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11472
UBS (CH) Equity Fund - Emerging Asia (USD) P,USD,2.36,CH0000966991,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11494
UBS (CH) Equity Fund - Small Caps Europe (EUR) P,EUR,1.95,CH0000967031,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11509
UBS (CH) Equity Fund - Mid Caps Switzerland (CHF) P,CHF,1.8,CH0001117248,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11505
UBS (CH) Equity Fund - US Sustainable (USD) P,USD,1.66,CH0002788401,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11515
UBS (CH) Equity Fund - Global Opportunity (USD) P,USD,2.05,CH0002788500,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11500
UBS (CH) Bond Fund - Global (CHF) P,CHF,1.16,CH0002788526,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11484
UBS (CH) Equity Fund - Asia (USD) P,USD,1.82,CH0002788708,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11490
UBS 100 Index-Fund Switzerland (CHF) P,CHF,0.27,CH0002788807,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11489
UBS (CH) Equity Fund - European Opportunity (EUR) P,EUR,2.04,CH0002791702,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11498
UBS (CH) Equity Fund - Switzerland Sustainable (CHF) P,CHF,0.96,CH0002791769,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11512
UBS (CH) Bond Fund - Bonds CHF Sustainable P,CHF,0.9,CH0002791843,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11481
UBS (CH) Strategy Fund - Yield Sustainable (CHF) P,CHF,1.5,CH0002792114,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11469
UBS (CH) Strategy Fund - Balanced Sustainable (CHF) P,CHF,1.68,CH0002792122,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11470
UBS (CH) Strategy Fund - Yield Sustainable (USD) P,USD,1.52,CH0002792171,https://iwww.swissfunddata.ch/sfdpub/en/funds/show/11473
