gss code,borough,year,population,births,deaths,international in,international out,international net,domestic in,domestic out,domestic net,adjustment,total change
E12000007,London (total),2011,8204407,133440,46929,219275.223,116258.223,103017,201620.226,241971.807,-40351.58,-6272,142904.42
E12000007,London (total),2012,8308831,134037,47572,203203.955,134022.955,69181,203443.356,255141.228,-51697.872,437,104385.128
E12000007,London (total),2013,8417458.714,131011,48078,175477.255,95657.542,79819.714,196571.383,251598.658,-55027.275,902,108627.438
E12000007,London (total),2014,8539396.173,127807,45449,205288.28,97881.107,107407.173,204443.349,273077.298,-68633.95,809,121940.223
E12000007,London (total),2015,8666927,128520,50151,217351.076,90961.076,126390,205531.1,283065.413,-77534.313,307,127531.687
E12000007,London (total),2016,8769656,129847,48513,213182.941,98957.941,114225,198320.991,291622.642,-93301.651,472,102729.349
E12000007,London (total),2017,8824998,127359,48836,193758.454,110270.454,83488,229405.701,336013.625,-106607.924,-61,55342.076
E12000007,London (total),2018,8908078,123594,50420,205905.819,93112.819,112793,237270.125,340499.736,-103229.612,343,83080.388
E12000007,London (total),2019,8961985,119086,48560,203005.259,125596.259,77409,255304.24,349296.2,-93991.96,-36,53907.04
E12000007,London (total),2020,9026308.269,116696.091,49091.707,144648.497,72645.797,72002.7,157612.077,224474.892,-66862.815,-8421,64323.269
E12000007,London (total),2021,9073632.504,116021.981,48980.546,103320.355,51889.855,51430.5,157672.902,224610.103,-66937.2,-4210.5,47324.235
E12000007,London (total),2022,9122889.615,114967.314,49245.004,103320.355,51889.855,51430.5,156683.86,224579.559,-67895.699,0,49257.111
E12000007,London (total),2023,9171554.358,114230.943,49914.637,120137.7,61363.835,58773.865,166287.241,240712.669,-74425.428,0,48664.743
E12000007,London (total),2024,9219906.582,113876.535,50598.105,136955.045,70837.816,66117.23,175977.902,257021.337,-81043.436,0,48352.224
E12000007,London (total),2025,9268475.102,113543.589,51329.573,153772.391,80311.796,73460.594,186665.932,273772.022,-87106.09,0,48568.52
E12000007,London (total),2026,9317753.346,113261.364,52102.338,170589.736,89785.777,80803.959,198438.817,291123.558,-92684.742,0,49278.244
E12000007,London (total),2027,9368423.391,113042.358,52894.801,187407.081,99259.757,88147.324,211173.5,308798.336,-97624.836,0,50670.045
E12000007,London (total),2028,9421190.751,112954.591,53699.997,204224.426,108733.738,95490.689,224526.364,326504.286,-101977.922,0,52767.36
E12000007,London (total),2029,9474079.768,113075.447,54504.918,204224.426,108733.738,95490.689,227197.245,328369.445,-101172.2,0,52889.017
E12000007,London (total),2030,9527622.674,113377.018,55289.765,204224.426,108733.738,95490.689,230104.707,330139.743,-100035.036,0,53542.905
E12000007,London (total),2031,9582117.066,113867.05,56039.377,204224.426,108733.738,95490.689,232777.371,331601.342,-98823.971,0,54494.392
E12000007,London (total),2032,9637590.074,114575.187,56921.558,204224.426,108733.738,95490.689,234885.268,332556.578,-97671.31,0,55473.009
E12000007,London (total),2033,9693843.086,115517.116,57874.224,204224.426,108733.738,95490.689,236656.647,333537.215,-96880.568,0,56253.012
E12000007,London (total),2034,9750162.09,116665.208,58861.782,204224.426,108733.738,95490.689,238164.679,335139.79,-96975.111,0,56319.004
E12000007,London (total),2035,9806261.45,118019.728,59795.891,204224.426,108733.738,95490.689,239198.992,336814.159,-97615.167,0,56099.359
E12000007,London (total),2036,9861745.19,119585.28,60822.535,204224.426,108733.738,95490.689,239590.151,338359.845,-98769.693,0,55483.74
E12000007,London (total),2037,9916380.972,121305.189,61978.4,204224.426,108733.738,95490.689,239645.459,339827.155,-100181.696,0,54635.782
E12000007,London (total),2038,9970573.987,123116.566,62881.984,204224.426,108733.738,95490.689,239404.98,340937.235,-101532.255,0,54193.015
E12000007,London (total),2039,10024493.43,124903.877,63702.62,204224.426,108733.738,95490.689,238876.489,341648.991,-102772.502,0,53919.443
E12000007,London (total),2040,10077526.1,126460.91,64460.535,204224.426,108733.738,95490.689,238083.845,342542.239,-104458.394,0,53032.67
E12000007,London (total),2041,10129286.29,127793.024,65208.362,204224.426,108733.738,95490.689,237080.643,343395.805,-106315.162,0,51760.19
E12000007,London (total),2042,10179555.91,128901.537,65975.704,204224.426,108733.738,95490.689,236025.532,344172.436,-108146.904,0,50269.617
E12000007,London (total),2043,10228226.46,129757.042,66755.33,204224.426,108733.738,95490.689,235144.669,344966.517,-109821.848,0,48670.552
E12000007,London (total),2044,10275052.64,130208.731,67585.537,204224.426,108733.738,95490.689,234450.506,345738.208,-111287.702,0,46826.18
E12000007,London (total),2045,10320003.38,130432.284,68426.18,204224.426,108733.738,95490.689,233903.558,346449.612,-112546.054,0,44950.738
E12000007,London (total),2046,10363044.56,130443.615,69307.616,204224.426,108733.738,95490.689,233501.342,347086.847,-113585.506,0,43041.182
E12000007,London (total),2047,10404165.05,130260,70192.881,204224.426,108733.738,95490.689,233216.443,347653.763,-114437.32,0,41120.488
E12000007,London (total),2048,10443338.96,129900.301,71089.487,204224.426,108733.738,95490.689,233030.697,348158.289,-115127.592,0,39173.91
E12000007,London (total),2049,10480580.89,129398.237,71978.147,204224.426,108733.738,95490.689,232942.166,348611.007,-115668.841,0,37241.938
E12000007,London (total),2050,10515946.75,128806.809,72849.921,204224.426,108733.738,95490.689,232952.47,349034.187,-116081.718,0,35365.859
E09000001,City of London,2011,7412,79,34,899.951,483.951,416,886.322,853.88,32.442,-414,79.442
E09000001,City of London,2012,6612,56,36,714.34,1498.34,-784,850.128,894.461,-44.333,2,-806.333
E09000001,City of London,2013,6033.714,71,27,644.251,1114.537,-470.286,627.999,821,-193.001,41,-578.287
E09000001,City of London,2014,6139.173,68,33,732.85,814.677,-81.827,906.001,768,138.001,17,108.174
E09000001,City of London,2015,6687,63,33,1069.162,544.162,525,802,809,-7,0,548
E09000001,City of London,2016,7246,58,42,1001.534,397.534,604,745,808.999,-63.999,3,559.001
E09000001,City of London,2017,7654,68,38,831.839,516.839,315,856.001,792,64,-1,408
E09000001,City of London,2018,8706,66,36,1616.818,518.818,1098,931.001,1011,-79.999,4,1052.001
E09000001,City of London,2019,9721,64,38,1359.777,515.777,844,1115.999,971.001,144.998,0,1014.998
E09000001,City of London,2020,9728.021,75.018,37.221,823.078,349.038,474.04,635.863,1135.68,-499.817,-5,7.021
E09000001,City of London,2021,9608.909,72.686,39.608,587.913,249.313,338.6,637.821,1126.111,-488.29,-2.5,-119.112
E09000001,City of London,2022,9525.712,68.364,39.244,587.913,249.313,338.6,636.633,1087.55,-450.916,0,-83.197
E09000001,City of London,2023,9439.662,64.91,41.689,648.12,322.721,325.398,681.27,1115.94,-434.67,0,-86.05
E09000001,City of London,2024,9351.628,61.665,42.108,708.326,396.13,312.196,723.481,1143.268,-419.787,0,-88.034
E09000001,City of London,2025,9261.424,58.098,43.936,768.533,469.538,298.994,767.308,1170.668,-403.36,0,-90.204
E09000001,City of London,2026,9180.922,54.634,44.941,828.739,542.947,285.792,813.791,1189.78,-375.989,0,-80.503
E09000001,City of London,2027,9124.268,51.359,47.038,888.946,616.355,272.591,863.217,1196.781,-333.565,0,-56.654
E09000001,City of London,2028,9085.409,48.813,47.937,949.152,689.764,259.389,914.626,1213.75,-299.124,0,-38.859
E09000001,City of London,2029,9084.353,46.955,50.094,949.152,689.764,259.389,922.766,1180.071,-257.305,0,-1.055
E09000001,City of London,2030,9104.006,46.112,51.329,949.152,689.764,259.389,931.964,1166.483,-234.519,0,19.653
E09000001,City of London,2031,9139.219,45.861,52.864,949.152,689.764,259.389,941.039,1158.212,-217.173,0,35.213
E09000001,City of London,2032,9179.782,46.039,54.048,949.152,689.764,259.389,949.515,1160.33,-210.816,0,40.563
E09000001,City of London,2033,9222.451,46.38,55.732,949.152,689.764,259.389,957.439,1164.808,-207.369,0,42.668
E09000001,City of London,2034,9266.646,46.804,57.269,949.152,689.764,259.389,964.428,1169.156,-204.728,0,44.196
E09000001,City of London,2035,9311.721,47.238,58.615,949.152,689.764,259.389,971.461,1174.397,-202.936,0,45.075
E09000001,City of London,2036,9359.065,47.711,59.965,949.152,689.764,259.389,977.327,1177.117,-199.79,0,47.345
E09000001,City of London,2037,9404.578,48.231,61.707,949.152,689.764,259.389,982.984,1183.384,-200.4,0,45.512
E09000001,City of London,2038,9449.674,48.675,63.806,949.152,689.764,259.389,987.162,1186.324,-199.162,0,45.096
E09000001,City of London,2039,9491.255,49.112,65.06,949.152,689.764,259.389,989.528,1191.388,-201.86,0,41.581
E09000001,City of London,2040,9531.7,49.493,66.621,949.152,689.764,259.389,991.767,1193.584,-201.817,0,40.445
E09000001,City of London,2041,9571.336,49.807,67.621,949.152,689.764,259.389,992.76,1194.698,-201.938,0,39.637
E09000001,City of London,2042,9607.688,49.993,68.211,949.152,689.764,259.389,993.146,1197.965,-204.82,0,36.352
E09000001,City of London,2043,9643.273,50.073,69.169,949.152,689.764,259.389,992.894,1197.6,-204.707,0,35.585
E09000001,City of London,2044,9677.78,50.048,70.007,949.152,689.764,259.389,992.764,1197.686,-204.922,0,34.507
E09000001,City of London,2045,9710.948,49.985,71.106,949.152,689.764,259.389,992.885,1197.985,-205.099,0,33.168
E09000001,City of London,2046,9744.186,49.872,72.037,949.152,689.764,259.389,991.803,1195.79,-203.987,0,33.237
E09000001,City of London,2047,9775.24,49.744,72.461,949.152,689.764,259.389,991.037,1196.654,-205.617,0,31.055
E09000001,City of London,2048,9805.732,49.588,73.708,949.152,689.764,259.389,990.158,1194.935,-204.777,0,30.492
E09000001,City of London,2049,9834.756,49.422,74.278,949.152,689.764,259.389,989.295,1194.804,-205.509,0,29.024
E09000001,City of London,2050,9864.967,49.251,75.142,949.152,689.764,259.389,988.222,1191.507,-203.286,0,30.211
E09000002,Barking and Dagenham,2011,187029,3695,1208,3903.322,1329.322,2574,10844.316,11485.699,-641.382,-223,4196.618
E09000002,Barking and Dagenham,2012,190663,3797,1285,3606.759,1942.759,1664,11974.661,12523.159,-548.498,10,3637.502
E09000002,Barking and Dagenham,2013,194576,3866,1235,2562.677,1046.677,1516,12353.999,12612.001,-258.001,24,3912.999
E09000002,Barking and Dagenham,2014,198650,3699,1190,3671.453,987.453,2684,12928.005,14046,-1117.996,-1,4074.004
E09000002,Barking and Dagenham,2015,203101,3697,1341,4344.242,1062.242,3282,12923.013,14099.001,-1175.987,-11,4451.013
E09000002,Barking and Dagenham,2016,208182,3993,1229,4965.241,1075.241,3890,12687.005,14262.999,-1575.994,3,5081.006
E09000002,Barking and Dagenham,2017,210711,3894,1223,4414.571,1188.571,3226,13680.998,17037,-3356.002,-12,2528.998
E09000002,Barking and Dagenham,2018,211998,3820,1273,4361.539,1482.539,2879,14257.998,18401.001,-4143.003,4,1286.997
E09000002,Barking and Dagenham,2019,212906,3577,1238,4087.716,1611.716,2476,15149.005,19065.998,-3916.993,10,908.007
E09000002,Barking and Dagenham,2020,215231.799,3570.862,1195.674,3104.263,898.843,2205.42,9699.228,11789.037,-2089.809,-165,2325.799
E09000002,Barking and Dagenham,2021,216930.545,3535.439,1174.381,2217.331,642.031,1575.3,9723.174,11878.287,-2155.113,-82.5,1698.745
E09000002,Barking and Dagenham,2022,218601.015,3483.973,1167.823,2217.331,642.031,1575.3,9701.184,11922.164,-2220.98,0,1670.471
E09000002,Barking and Dagenham,2023,220192.196,3446.343,1167.181,2511.034,740.034,1771,10367.794,12826.776,-2458.982,0,1591.181
E09000002,Barking and Dagenham,2024,221702.838,3428.467,1171.575,2804.738,838.038,1966.7,11041.28,13754.23,-2712.95,0,1510.642
E09000002,Barking and Dagenham,2025,223169.257,3419.068,1174.091,3098.441,936.041,2162.4,11728.583,14669.54,-2940.958,0,1466.419
E09000002,Barking and Dagenham,2026,224590.204,3418.149,1180.196,3392.145,1034.045,2358.1,12436.046,15611.151,-3175.106,0,1420.947
E09000002,Barking and Dagenham,2027,225970.419,3426.618,1189.892,3685.848,1132.048,2553.8,13158.774,16569.084,-3410.311,0,1380.215
E09000002,Barking and Dagenham,2028,227362.571,3445.784,1197.149,3979.552,1230.052,2749.5,13900.089,17506.073,-3605.983,0,1392.152
