Nr,Agreement,Document symbol,Document link (1),Document link (2),Notifying Member,Region group,Development status,Year,Notification pursuant to,Measure description,Type of measure,Coverage of the measure,ICS - HS code,Implementation period,Subsidy amount,Environment-related objective,Keywords,Harmonized types of environment-related objectives,Harmonized types of measures,Harmonized types of sectors subject to the measure,COUNTRIES,START,END,ISIC,Similar measures,Similarity index,BREADTH_economic_sectors,BREADTH_env_objectives,BREADTH_env_keywords,BREADTH,DEPTH_wording,DEPTH_measures_variety,DEPTH_measures_instrument,DEPTH,MEASURE_SCORE,Reported HS codes,Reported ICS codes,Reported ambiguous codes,Tentative HS chapters match,Absolute link strength (L_tilde),Relative link strength (L_bar),notification_used_as_start
733,Quantitative Restrictions,G/LIC/N/2/ISR/5; G/MA/QR/N/ISR/2,"=IF(C734="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C734,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C734,1,FIND("""""""""""""""";"""""""""""""""",C734,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C734,1,FIND("""""""""""""""";"""""""""""""""",C734,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C734),C734)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C734,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C734,FIND("""""""""""""""";"""""""""""""""",C734,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C734,FIND("""""""""""""""";"""""""""""""""",C734,1)+1,100)))), """""""""""""""" """""""""""""""")",Israel,Middle East,Developing,2022,Decision G/L/59/Rev.1,Licensing regulations,NAL: Non-automatic license,"Various, as described in the First and Second schedules of the Free Import Order - 2014 and in Personal Import Order 5779-2019","","","","Protect human, animal or plant life and health; protect environment; pursue obligations under the UN Charter and other international treaties  ",Environment,Animal protection;Biodiversity and ecosystem;MEAs implementation and compliance;Plant protection,Export licences;Import licences,Not specified,Israel,2022,,"","","",0,0.627,0.218,0.634,0,0.5,0.5,1,0.634,"","","",6,11,0.115,TRUE
733,Quantitative Restrictions,G/LIC/N/2/ISR/5; G/MA/QR/N/ISR/2,"=IF(C734="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C734,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C734,1,FIND("""""""""""""""";"""""""""""""""",C734,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C734,1,FIND("""""""""""""""";"""""""""""""""",C734,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C734),C734)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C734,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C734,FIND("""""""""""""""";"""""""""""""""",C734,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C734,FIND("""""""""""""""";"""""""""""""""",C734,1)+1,100)))), """""""""""""""" """""""""""""""")",Israel,Middle East,Developing,2022,Decision G/L/59/Rev.1,Licensing regulations,NAL: Non-automatic license,"Various, as described in the First and Second schedules of the Free Import Order - 2014 and in Personal Import Order 5779-2019","","","","Protect human, animal or plant life and health; protect environment; pursue obligations under the UN Charter and other international treaties  ",Environment,Animal protection;Biodiversity and ecosystem;MEAs implementation and compliance;Plant protection,Export licences;Import licences,Not specified,Israel,2022,,"","","",0,0.627,0.218,0.634,0,0.5,0.5,1,0.634,"","","",12,11,0.114,TRUE
1085,Import Licensing Procedures,G/LIC/N/3/AUS/15,"=IF(C1086="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1086,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1086,1,FIND("""""""""""""""";"""""""""""""""",C1086,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1086,1,FIND("""""""""""""""";"""""""""""""""",C1086,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1086),C1086)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1086,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1086,FIND("""""""""""""""";"""""""""""""""",C1086,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1086,FIND("""""""""""""""";"""""""""""""""",C1086,1)+1,100)))), """""""""""""""" """""""""""""""")",Australia,Asia,Developed,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"1. Animals (including birds, marine animals and insects) and animal products, plants and goods of general quarantine concern: The Environment Protection and Biodiversity Conservation Act 1999 (EPBC Act) regulates international trade in Australian native species, live animals and plants, and species listed under the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). The Biosecurity Act 2015 (Biosecurity Act) applies controls to the importation of all plants, parts of plants and plant products, all animals (including birds, marine animals and insects), animal products, soil and other items of general quarantine concern.","Import/export permits, import prohibition, CITES export and import permits","The import and export of all live animals and plants; the import of non-live animal and plant specimens, including parts and derivatives, of species listed under CITES; fish caught by foreign-based fishing vessels and Patagonian and Antarctic toothfish","","","","To manage the risk of introduction of pests and disease that could damage plant, animal or human health or the environment, to implement Australia's obligations under CITES, by regulating international trade in wildlife and wildlife products, to contribute to the protection and conservation of species that are endangered, or could become endangered, and to facilitate legal, sustainable trade in wildlife",Conservation;Endangered;Environment;MEAs;Wildlife,Animal protection;Biodiversity and ecosystem;Environmental protection from pests and diseases;MEAs implementation and compliance;Plant protection,Import licences,Fisheries;Other,Australia,2022,,03;36-43,3161;4591;6398;7466;9433;10516,0.93;0.79;0.574;0.525;0.672;0.562,0.345,0.699,0.564,1.465,0.406,0.315,0.5,1.221,1.789,"","","",1,236,0.198,TRUE
1085,Import Licensing Procedures,G/LIC/N/3/AUS/15,"=IF(C1086="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1086,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1086,1,FIND("""""""""""""""";"""""""""""""""",C1086,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1086,1,FIND("""""""""""""""";"""""""""""""""",C1086,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1086),C1086)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1086,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1086,FIND("""""""""""""""";"""""""""""""""",C1086,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1086,FIND("""""""""""""""";"""""""""""""""",C1086,1)+1,100)))), """""""""""""""" """""""""""""""")",Australia,Asia,Developed,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"1. Animals (including birds, marine animals and insects) and animal products, plants and goods of general quarantine concern: The Environment Protection and Biodiversity Conservation Act 1999 (EPBC Act) regulates international trade in Australian native species, live animals and plants, and species listed under the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). The Biosecurity Act 2015 (Biosecurity Act) applies controls to the importation of all plants, parts of plants and plant products, all animals (including birds, marine animals and insects), animal products, soil and other items of general quarantine concern.","Import/export permits, import prohibition, CITES export and import permits","The import and export of all live animals and plants; the import of non-live animal and plant specimens, including parts and derivatives, of species listed under CITES; fish caught by foreign-based fishing vessels and Patagonian and Antarctic toothfish","","","","To manage the risk of introduction of pests and disease that could damage plant, animal or human health or the environment, to implement Australia's obligations under CITES, by regulating international trade in wildlife and wildlife products, to contribute to the protection and conservation of species that are endangered, or could become endangered, and to facilitate legal, sustainable trade in wildlife",Conservation;Endangered;Environment;MEAs;Wildlife,Animal protection;Biodiversity and ecosystem;Environmental protection from pests and diseases;MEAs implementation and compliance;Plant protection,Import licences,Fisheries;Other,Australia,2022,,03;36-43,3161;4591;6398;7466;9433;10516,0.93;0.79;0.574;0.525;0.672;0.562,0.345,0.699,0.564,1.465,0.406,0.315,0.5,1.221,1.789,"","","",3,193,0.162,TRUE
1085,Import Licensing Procedures,G/LIC/N/3/AUS/15,"=IF(C1086="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1086,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1086,1,FIND("""""""""""""""";"""""""""""""""",C1086,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1086,1,FIND("""""""""""""""";"""""""""""""""",C1086,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1086),C1086)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1086,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1086,FIND("""""""""""""""";"""""""""""""""",C1086,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1086,FIND("""""""""""""""";"""""""""""""""",C1086,1)+1,100)))), """""""""""""""" """""""""""""""")",Australia,Asia,Developed,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"1. Animals (including birds, marine animals and insects) and animal products, plants and goods of general quarantine concern: The Environment Protection and Biodiversity Conservation Act 1999 (EPBC Act) regulates international trade in Australian native species, live animals and plants, and species listed under the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). The Biosecurity Act 2015 (Biosecurity Act) applies controls to the importation of all plants, parts of plants and plant products, all animals (including birds, marine animals and insects), animal products, soil and other items of general quarantine concern.","Import/export permits, import prohibition, CITES export and import permits","The import and export of all live animals and plants; the import of non-live animal and plant specimens, including parts and derivatives, of species listed under CITES; fish caught by foreign-based fishing vessels and Patagonian and Antarctic toothfish","","","","To manage the risk of introduction of pests and disease that could damage plant, animal or human health or the environment, to implement Australia's obligations under CITES, by regulating international trade in wildlife and wildlife products, to contribute to the protection and conservation of species that are endangered, or could become endangered, and to facilitate legal, sustainable trade in wildlife",Conservation;Endangered;Environment;MEAs;Wildlife,Animal protection;Biodiversity and ecosystem;Environmental protection from pests and diseases;MEAs implementation and compliance;Plant protection,Import licences,Fisheries;Other,Australia,2022,,03;36-43,3161;4591;6398;7466;9433;10516,0.93;0.79;0.574;0.525;0.672;0.562,0.345,0.699,0.564,1.465,0.406,0.315,0.5,1.221,1.789,"","","",29,124,0.104,TRUE
1087,Import Licensing Procedures,G/LIC/N/3/AUS/15,"=IF(C1088="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1088,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1088,1,FIND("""""""""""""""";"""""""""""""""",C1088,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1088,1,FIND("""""""""""""""";"""""""""""""""",C1088,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1088),C1088)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1088,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1088,FIND("""""""""""""""";"""""""""""""""",C1088,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1088,FIND("""""""""""""""";"""""""""""""""",C1088,1)+1,100)))), """""""""""""""" """""""""""""""")",Australia,Asia,Developed,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"3. Asbestos: Under the Customs (Prohibited Imports) Regulations 1956 (PI Regulations), the importation of asbestos, or goods containing asbestos, is subject to prohibition. The regulations empower the Work Health and Safety Minister (the WHS Minister) administering the Work Health and Safety Act 2011 (WHS Act) to grant permission to import asbestos in certain circumstances.",Conditional prohibition,Asbestos,"","","","To reduce and prevent occupational and environmental exposures to asbestos fibres, and the possible adverse health outcomes attributed to these exposures.
",Environment;Hazardous,"Chemical, toxic and hazardous substances management",Ban/Prohibition;Import licences,Chemicals,Australia,2022,,20-21,3162;4592;6399;6402,0.803;0.613;0.554;0.554,0.115,0.27,0.346,0.634,0,0.5,1,1.5,0.951,"","","",68,233,0.705,TRUE
1088,Import Licensing Procedures,G/LIC/N/3/AUS/15,"=IF(C1089="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1089,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1089,1,FIND("""""""""""""""";"""""""""""""""",C1089,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1089,1,FIND("""""""""""""""";"""""""""""""""",C1089,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1089),C1089)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1089,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1089,FIND("""""""""""""""";"""""""""""""""",C1089,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1089,FIND("""""""""""""""";"""""""""""""""",C1089,1)+1,100)))), """""""""""""""" """""""""""""""")",Australia,Asia,Developed,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"10. Genetically modified organisms: The Gene Technology Act 2000 (GT Act), the Gene Technology Regulations 2001 (GT Regulations) and corresponding state and territory laws provide a nationally consistent system to regulate work (dealings) with genetically modified organisms (GMOs) in Australia. This includes the creation or import, transport, disposal, growth and propagation of GMOs.",Import related requirements,GMOs,"","","","To manage the risks of working with GMOs and to protect the environment, by identifying risks posed by or as a result of gene technology, and by managing those risks through regulating certain dealings with GMOs under Article 8(g) of the UN Convention on Biological Diversity",Bio;Environment;Genetic;MEAs,Biodiversity and ecosystem;MEAs implementation and compliance;Other environmental risks mitigation,Import licences;Other environmental requirements;Regulation affecting movement or transit,Agriculture;Manufacturing,Australia,2022,,01;10-19;22-33,3167;4594;6404;7478;9446,0.753;0.738;0.56;0.63;0.51,0.509,0.54,0.506,1.548,0.344,0.631,0.5,1.475,2.283,"","","",15,72,0.23,TRUE
1088,Import Licensing Procedures,G/LIC/N/3/AUS/15,"=IF(C1089="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1089,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1089,1,FIND("""""""""""""""";"""""""""""""""",C1089,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1089,1,FIND("""""""""""""""";"""""""""""""""",C1089,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1089),C1089)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1089,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1089,FIND("""""""""""""""";"""""""""""""""",C1089,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1089,FIND("""""""""""""""";"""""""""""""""",C1089,1)+1,100)))), """""""""""""""" """""""""""""""")",Australia,Asia,Developed,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"10. Genetically modified organisms: The Gene Technology Act 2000 (GT Act), the Gene Technology Regulations 2001 (GT Regulations) and corresponding state and territory laws provide a nationally consistent system to regulate work (dealings) with genetically modified organisms (GMOs) in Australia. This includes the creation or import, transport, disposal, growth and propagation of GMOs.",Import related requirements,GMOs,"","","","To manage the risks of working with GMOs and to protect the environment, by identifying risks posed by or as a result of gene technology, and by managing those risks through regulating certain dealings with GMOs under Article 8(g) of the UN Convention on Biological Diversity",Bio;Environment;Genetic;MEAs,Biodiversity and ecosystem;MEAs implementation and compliance;Other environmental risks mitigation,Import licences;Other environmental requirements;Regulation affecting movement or transit,Agriculture;Manufacturing,Australia,2022,,01;10-19;22-33,3167;4594;6404;7478;9446,0.753;0.738;0.56;0.63;0.51,0.509,0.54,0.506,1.548,0.344,0.631,0.5,1.475,2.283,"","","",87,102,0.326,TRUE
1089,Import Licensing Procedures,G/LIC/N/3/AUS/15,"=IF(C1090="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1090,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1090,1,FIND("""""""""""""""";"""""""""""""""",C1090,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1090,1,FIND("""""""""""""""";"""""""""""""""",C1090,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1090),C1090)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1090,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1090,FIND("""""""""""""""";"""""""""""""""",C1090,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1090,FIND("""""""""""""""";"""""""""""""""",C1090,1)+1,100)))), """""""""""""""" """""""""""""""")",Australia,Asia,Developed,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"12. Hazardous waste: The import, export and transit of hazardous waste is regulated under the Hazardous Waste (Regulation of Exports and Imports) Act 1989 (the Act) and associated regulations, to ensure that hazardous waste is managed in an environmentally sound manner to protect human beings and the environment, within and outside Australia.",Import and export related requirements,Hazardous waste,"","","","To protect the environment by regulating the import, export, and transit of hazardous waste under the Basel Convention and the Waigani Convention",Environment;Hazardous;MEAs;Waste,"Chemical, toxic and hazardous substances management;MEAs implementation and compliance;Waste management and recycling",Export licences;Import licences;Regulation affecting movement or transit,Other,Australia,2022,,36-43,3172;4596,0.647;0.729,0.3,0.54,0.506,1.234,0.445,0.631,0.5,1.576,1.945,"","","",68,13,0.148,TRUE
1089,Import Licensing Procedures,G/LIC/N/3/AUS/15,"=IF(C1090="""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""",IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1090,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(MID(C1090,1,FIND("""""""""""""""";"""""""""""""""",C1090,1) - 1),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), MID(C1090,1,FIND("""""""""""""""";"""""""""""""""",C1090,1) - 1)), HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",C1090),C1090)))","=IF(IFERROR(FIND("""""""""""""""";"""""""""""""""",C1090,1), 0) > 0, HYPERLINK(CONCATENATE(""""""""""""""""https://docs.wto.org/dol2fe/Pages/SS/DoSearch.aspx?DataSource=Cat&query=@Symbol="""""""""""""""",SUBSTITUTE(TRIM((MID(C1090,FIND("""""""""""""""";"""""""""""""""",C1090,1)+1,100))),""""""""""""""""/"""""""""""""""",""""""""""""""""%2F""""""""""""""""),""""""""""""""""&""""""""""""""""), TRIM((MID(C1090,FIND("""""""""""""""";"""""""""""""""",C1090,1)+1,100)))), """""""""""""""" """""""""""""""")",Australia,Asia,Developed,2022,Article 7.3 of the Agreement on Import Licensing Procedures,"12. Hazardous waste: The import, export and transit of hazardous waste is regulated under the Hazardous Waste (Regulation of Exports and Imports) Act 1989 (the Act) and associated regulations, to ensure that hazardous waste is managed in an environmentally sound manner to protect human beings and the environment, within and outside Australia.",Import and export related requirements,Hazardous waste,"","","","To protect the environment by regulating the import, export, and transit of hazardous waste under the Basel Convention and the Waigani Convention",Environment;Hazardous;MEAs;Waste,"Chemical, toxic and hazardous substances management;MEAs implementation and compliance;Waste management and recycling",Export licences;Import licences;Regulation affecting movement or transit,Other,Australia,2022,,36-43,3172;4596,0.647;0.729,0.3,0.54,0.506,1.234,0.445,0.631,0.5,1.576,1.945,"","","",85,27,0.308,TRUE
