area_name,date,cause_of_death,deaths
Barking and Dagenham,2021-01-01,COVID 19,0
Barking and Dagenham,2021-01-01,Non COVID 19,0
Barking and Dagenham,2021-01-02,COVID 19,0
Barking and Dagenham,2021-01-02,Non COVID 19,0
Barking and Dagenham,2021-01-03,COVID 19,0
Barking and Dagenham,2021-01-03,Non COVID 19,0
Barking and Dagenham,2021-01-04,COVID 19,1
Barking and Dagenham,2021-01-04,Non COVID 19,1
Barking and Dagenham,2021-01-05,COVID 19,0
Barking and Dagenham,2021-01-05,Non COVID 19,1
Barking and Dagenham,2021-01-06,COVID 19,0
Barking and Dagenham,2021-01-06,Non COVID 19,1
Barking and Dagenham,2021-01-07,COVID 19,0
Barking and Dagenham,2021-01-07,Non COVID 19,0
Barking and Dagenham,2021-01-08,COVID 19,0
Barking and Dagenham,2021-01-08,Non COVID 19,0
Barking and Dagenham,2021-01-09,COVID 19,0
Barking and Dagenham,2021-01-09,Non COVID 19,0
Barking and Dagenham,2021-01-10,COVID 19,0
Barking and Dagenham,2021-01-10,Non COVID 19,0
Barking and Dagenham,2021-01-11,COVID 19,0
Barking and Dagenham,2021-01-11,Non COVID 19,0
Barking and Dagenham,2021-01-12,COVID 19,0
Barking and Dagenham,2021-01-12,Non COVID 19,0
Barking and Dagenham,2021-01-13,COVID 19,0
Barking and Dagenham,2021-01-13,Non COVID 19,1
Barking and Dagenham,2021-01-14,COVID 19,0
Barking and Dagenham,2021-01-14,Non COVID 19,1
Barking and Dagenham,2021-01-15,COVID 19,0
Barking and Dagenham,2021-01-15,Non COVID 19,0
Barking and Dagenham,2021-01-16,COVID 19,0
Barking and Dagenham,2021-01-16,Non COVID 19,0
Barking and Dagenham,2021-01-17,COVID 19,1
Barking and Dagenham,2021-01-17,Non COVID 19,1
Barking and Dagenham,2021-01-18,COVID 19,0
Barking and Dagenham,2021-01-18,Non COVID 19,0
Barking and Dagenham,2021-01-19,COVID 19,0
Barking and Dagenham,2021-01-19,Non COVID 19,1
Barking and Dagenham,2021-01-20,COVID 19,0
Barking and Dagenham,2021-01-20,Non COVID 19,1
Barking and Dagenham,2021-01-21,COVID 19,0
Barking and Dagenham,2021-01-21,Non COVID 19,2
Barking and Dagenham,2021-01-22,COVID 19,0
Barking and Dagenham,2021-01-22,Non COVID 19,2
Barking and Dagenham,2021-01-23,COVID 19,0
