Country,Building,Notes,lon,lat,flood0002,flood0005,flood0010,flood0025,flood0050,flood0100,flood0250,flood0500,flood1000
Algeria,"El Mouradia, Algiers","",3.0425182,36.7535686,0,0,0,0,0,0,0,0,0
Benin,"Palais de la Marina, Cotonou","",2.3912362,6.3702928,0,0,0,0,0,0,0,0,0
Botswana,"State House, Gaborone","",25.9143093,-24.6521557,0,0,0,0,0,0,0,0,0
Cameroon,"The Unity Palace, Yaoundé","",11.5020752,3.8480325,0,0,0,0,0,0,0,0,0
Republic of the Congo,"Palais du Peuple, Brazzaville","",15.2649343,-4.2833186,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,"Presidential Palace, Abidjan","",-4.0082563,5.3599517,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,"Presidential Palace, Yamoussoukro","",-5.2893433,6.8276228,0,0,0,0,0,0,0,0,0
Djibouti,"Presidential Palace, Djibouti City","",43.1456475,11.5720765,0,0.0390175729990006,0.064745157957077,0.097156822681427,0.121197655797005,0.144992142915726,0.176221430301666,0.199765384197235,0.223201334476471
Egypt,"Abdeen Palace, Cairo","",31.247217,30.0432148,0,0,0,0,0,0,0,0,0
Egypt,"Heliopolis Palace, Cairo","",31.3193929,30.0888643,0,0,0,0,0,0,0,0,0
Egypt,"Koubbeh Palace, Cairo","",31.3041176,30.09813,0,0,0,0,0,0,0,0,0
Eritrea,"Asmara President's Office, Asmara","",38.9308357,15.3355689,0,0,0,0,0,0,0,0,0
Ethiopia,"National Palace, Addis Ababa","",38.7577605,8.9806034,0,0,0,0,0,0,0,0,0
Gabon,"Presidential Palace, Libreville","",9.4426136,0.3921138,0,0.822595953941345,1.51745545864105,2.31906342506409,2.87500548362732,3.4034469127655,4.06778526306152,4.54934597015381,5.01418209075928
Ghana,"Jubilee House, Accra","",-0.1884806,5.5797341,0,0,0,0,0,0,0,0,0
Guinea-Bissau,"Presidential Palace, Bissau","",-15.5849111,11.8638703,0,0,0,0,0,0,0,0,0
Kenya,"State House, Nairobi","",36.8000221,-1.282819,0,0,0,0,0,0,0,0,0
Madagascar,"Iavoloha Palace, Antananarivo","",47.5285396,-19.0033026,0,0,0,0,0,0,0,0,0
Madagascar,"Ambohitsorohitra Palace, Antananarivo",Ceremonial residence,47.5079055,-18.8791902,0,0,0,0,0,0,0,0,0
Malawi,"Kamuzu Palace, Lilongwe","",33.851701,-13.9631425,0,0,0,0,0,0,0,0,0
Mali,"Presidential Palace, Bamako","",-8.0112381,12.6580318,0,0,0,0,0,0,0,0,0
Mauritania,"Presidential Palace, Nouakchott","",-15.9707222,18.0947803,0,0,0,0,0,0,0,0,0
Namibia,"State House of Namibia, Windhoek","",17.100912,-22.591141,0,0,0,0,0,0,0,0,0
Nigeria,"Nigerian Presidential Complex, Abuja","",7.5185333,9.0622697,0,0,0,0,0,0,0,0,0
Rwanda,"Urugwiro, Kigali","",30.0836323,-1.9393852,0,0.0190421901643276,0.0316497758030891,0.0475794896483421,0.0593970939517021,0.0711274147033691,0.0865722298622131,0.0982345789670944,0.109888240695
São Tomé and Príncipe,"Presidential Palace, São Tomé","",6.6210611,0.2602568,0,0,0,0,0,0,0,0,0
Senegal,"Presidential Palace, Dakar","",-17.4676861,14.716677,0,0,0,0,0,0,0,0,0
Somalia,"Villa Somalia, Mogadishu","",45.336775,2.041022,0,0.0941378027200699,0.155700027942657,0.23263230919838,0.289112091064453,0.344724178314209,0.41730660200119,0.47158282995224,0.525436997413635
Somaliland,"Presidential Palace, Hargeisa","",44.0770134,9.562389,0,0,0,0,0,0,0,0,0
South Africa,"Mahlamba Ndlopfu, Pretoria","",28.226743,-25.7378419,0,0,0,0,0,0,0,0,0
South Sudan,"Presidential Palace, Juba","",31.57125,4.859363,0,0,0,0,0,0,0,0,0
Sudan,"Presidential Palace, Khartoum","",32.5598994,15.5006544,0,0,0,0.722564697265625,1.62152671813965,2.38503265380859,3.26209449768066,3.84800338745117,4.38951110839844
Tunisia,"Carthage Palace, Tunis","",10.1993064,36.844501,0,0.106590047478676,0.243784993886948,0.485242187976837,0.671753168106079,0.863936543464661,1.11386322975159,1.29960894584656,1.48381423950195
Uganda,"State House, Kampala","",32.5804497,0.3208331,0,0,0,0,0,0,0,0,0
Uganda,"State House, Entebbe","",32.463708,0.0511839,0,0,0,0,0,0,0,0,0
Zambia,"State House, Lusaka","",28.3276983,-15.428921,0,0,0,0,0,0,0,0,0
Zimbabwe,"(former) Presidential Palace, Harare","",31.0492259,-17.8216288,0,0,0,0,0,0,0,0,0
Argentina,"Casa Rosada, Buenos Aires",Government Office,-58.3702778,-34.6080556,0,0,0,0,0,0,0,0,0
Argentina,"Quinta de Olivos, Buenos Aires Province",Official Residence,-58.483056,-34.515,0,0,0,0,0,0,0,0,0
Barbados,"State House, Bridgetown",Official Residence,-59.5996,13.1012,0,0,0,0,0,0,0,0,0
Bolivia,"Casa Grande del Pueblo, La Paz","",-68.1339357,-16.4967711,0,0,0,0,0,0,0,0,0
Brazil,"Palácio do Planalto, Brasilia",Official workplace,-47.8607689,-15.7990489,0,0,0,0,0,0,0,0,0
Chile,"La Moneda Palace, Santiago de Chile",Official office,-70.6538699,-33.4429091,0,0,0,0,0,0,0,0,0
Colombia,"Casa(Palacio) de Nariño, Bogotá","",-74.0775852,4.5954066,0,0,0,0,0,0,0,0,0
Costa Rica,"Casa Presidencial, San José","",-84.0558275,9.9227382,0,0,0,0,0,0,0,0,0
Cuba,"Presidential Palace (former), Havana",Has been a museum since 1959,-82.3665956,23.1135925,0,0.0265826247632504,0.044102631509304,0.0661790519952774,0.0825101435184479,0.098675012588501,0.119912728667259,0.135875016450882,0.151777923107147
Cuba,"Palacio de la Revolucion, Havana","",-82.38729,23.1206272,0,0.0265826247632504,0.044102631509304,0.0661790519952774,0.0825101435184479,0.098675012588501,0.119912728667259,0.135875016450882,0.151777923107147
Dominica,"Government House, Roseau","",-61.370976,15.414999,0,0,0,0,0,0,0,0,0
Ecuador,"Carondelet Palace, Quito","",-78.5126074,-0.219716,0,0,0,0,0,0,0,0,0
