"SourceFile","GPSLatitude","GPSLongitude","DateTimeOriginal","country"
"D:/Backup photos Lily 2023_04_29/Camera/1639507178794(0).mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/1639508143560.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/1648834308998.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/1648899862648.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/1648899984777.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/1648974523545.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/1668964168670.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/1669485466197.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/20230415131531687.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/20230416091312487.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/20230423183410697.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/20230423183744765.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/20230423224727277.mp4",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/FB_IMG_1626801654055.jpg",NA,NA,NA,NA
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201027_090422.jpg",46.2081719722222,6.149312,"2020:10:27 08:37:57","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201028_171051.jpg",46.2063309722222,6.148517,"2020:10:28 12:03:22","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201028_171258.jpg",46.204565,6.15256397222222,"2020:10:28 11:54:43","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201028_172452.jpg",46.2087059722222,6.151073,"2020:10:27 12:18:49","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201028_172641.jpg",46.219098,6.150038,"2020:10:28 12:27:16","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201028_173029.jpg",46.2117179722222,6.152839,"2020:10:27 12:25:08","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201030_142025.jpg",46.204518,6.15280597222222,"2020:10:30 11:51:44","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201030_142110.jpg",46.213545,6.15264397222222,"2020:10:30 12:09:33","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201030_142726.jpg",46.219507,6.15096097222222,"2020:10:30 12:20:03","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201030_162641.jpg",46.2191059722222,6.15245997222222,"2020:10:30 16:26:42","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201030_162958.jpg",46.2199639722222,6.153144,"2020:10:30 16:30:00","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201030_181234.jpg",46.2140089722222,6.152629,"2020:10:30 12:10:31","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201030_190317.jpg",46.2334249722222,6.14126997222222,"2020:10:30 16:59:45","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201030_225842.jpg",46.2119879722222,6.15307197222222,"2020:10:30 12:05:52","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201106_175658.jpg",46.2208789722222,6.14840097222222,"2020:11:06 17:57:00","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201108_195417.jpg",46.2210279722222,6.148371,"2020:11:08 19:54:18","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201108_195700.jpg",46.2207659722222,6.14872497222222,"2020:11:08 19:57:02","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201120_201059.jpg",NA,NA,"2020:11:20 20:11:00",NA
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201121_203532.jpg",46.2208639722222,6.14881997222222,"2020:11:21 19:37:06","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201121_203553.jpg",46.2209789722222,6.14840597222222,"2020:11:21 19:23:01","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201205_155818.jpg",46.2209769722222,6.14872397222222,"2020:12:05 15:56:47","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201205_155907.jpg",46.2209349722222,6.14894697222222,"2020:12:05 15:56:53","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201205_155955.jpg",46.2209339722222,6.14893397222222,"2020:12:05 15:56:59","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201210_205725.jpg",46.2209569722222,6.14843397222222,"2020:12:10 20:06:53","Switzerland"
"D:/Backup photos Lily 2023_04_29/Camera/IMG_20201211_181949.jpg",46.210003,6.15650297222222,"2020:12:11 17:07:08","Switzerland"
